                                           oof_accuracy                                                         test_accuracy                                                        
                                                   mean t_int_l t_int_h    std                           values          mean t_int_l t_int_h    std                           values
name                                                                                                                                                                                 
lgb_embeds: emb__SampleRandom_short.pickle       0.8833  0.8793  0.8873 0.0032  [0.879 0.881 0.884 0.886 0.887]        0.8873  0.8822  0.8925 0.0041  [0.881 0.885 0.889 0.889 0.892]
lgb_embeds: mles_embeddings.pickle               0.9278  0.9240  0.9316 0.0031  [0.924 0.927 0.927 0.930 0.932]        0.9270  0.9218  0.9322 0.0042  [0.923 0.924 0.926 0.929 0.933]
