                                                   oof_accuracy                                                         test_accuracy                                                        
                                                           mean t_int_l t_int_h    std                           values          mean t_int_l t_int_h    std                           values
name                                                                                                                                                                                         
lgb_embeds: emb__cosine_annealing.pickle                 0.9278  0.9240  0.9316 0.0031  [0.924 0.927 0.927 0.930 0.932]        0.9270  0.9218  0.9322 0.0042  [0.923 0.924 0.926 0.929 0.933]
lgb_embeds: emb__reduce_on_plateau.pickle                0.9278  0.9240  0.9316 0.0031  [0.924 0.927 0.927 0.930 0.932]        0.9270  0.9218  0.9322 0.0042  [0.923 0.924 0.926 0.929 0.933]
lgb_embeds: emb__reduce_on_plateau_x2epochs.pickle       0.9278  0.9240  0.9316 0.0031  [0.924 0.927 0.927 0.930 0.932]        0.9270  0.9218  0.9322 0.0042  [0.923 0.924 0.926 0.929 0.933]
lgb_embeds: mles_embeddings.pickle                       0.9278  0.9240  0.9316 0.0031  [0.924 0.927 0.927 0.930 0.932]        0.9270  0.9218  0.9322 0.0042  [0.923 0.924 0.926 0.929 0.933]
