                                                                oof_accuracy                                                         test_accuracy                                                        
                                                                        mean t_int_l t_int_h    std                           values          mean t_int_l t_int_h    std                           values
name                                                                                                                                                                                                      
lgb_embeds: emb__encoder_gru.pickle                                   0.9278  0.9240  0.9316 0.0031  [0.924 0.927 0.927 0.930 0.932]        0.9270  0.9218  0.9322 0.0042  [0.923 0.924 0.926 0.929 0.933]
lgb_embeds: emb__encoder_lstm.pickle                                  0.8771  0.8690  0.8852 0.0065  [0.871 0.873 0.875 0.879 0.888]        0.8686  0.8646  0.8726 0.0032  [0.864 0.867 0.868 0.872 0.872]
lgb_embeds: emb__encoder_transf_bs064_4head_64hs_8layers.pickle       0.9278  0.9240  0.9316 0.0031  [0.924 0.927 0.927 0.930 0.932]        0.9270  0.9218  0.9322 0.0042  [0.923 0.924 0.926 0.929 0.933]
lgb_embeds: mles_embeddings.pickle                                    0.9278  0.9240  0.9316 0.0031  [0.924 0.927 0.927 0.930 0.932]        0.9270  0.9218  0.9322 0.0042  [0.923 0.924 0.926 0.929 0.933]
